id,voltaje,posicion_x,posicion_y,red,green,blue
22,12.87,314,520,100,200,50
8,42.35,126,816,30,150,220
19,3.41,834,240,80,50,180
4,29.76,39,1206,210,90,20
28,10.59,923,296,70,120,40
3,47.82,735,505,180,70,130
17,24.04,1310,133,50,190,100
21,15.29,556,840,160,40,220
6,1.75,1140,1104,90,200,60
30,38.23,1616,91,120,80,170
11,4.37,763,270,220,30,80
23,31.19,1253,433,40,100,210
14,22.60,1170,776,150,60,120
26,11.72,1541,880,80,180,90
2,18.93,946,803,200,20,150
29,9.88,830,1306,110,220,70
9,35.94,1245,750,60,160,30
25,6.58,1626,516,170,10,190
16,41.20,1453,580,30,140,200
7,2.81,1216,600,190,120,10
27,17.44,1646,200,100,50,160
15,14.07,1193,1306,210,90,130
10,44.05,1236,140,70,200,80
12,19.93,826,1243,140,30,220
18,5.18,1631,370,50,170,40
1,46.88,1210,1273,180,80,190
20,7.63,1606,796,10,150,100
24,33.70,1456,860,160,20,210
13,27.16,1656,433,90,110,60
5,8.79,1246,1490,200,60,140
